Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A session handles three separate customer issues at once, and details from one keep contaminating the reasoning about another. What does the architecture add?",multiple-choice,"Three parallel sessions, one for each issue, with the results combined at the end for the customer.",,"A longer summary of the conversation so far, restated before each issue is worked on.",,"A separate context layer holding structured issue data per issue: order ids, amounts and statuses.",,A rule instructing the agent to address the three issues strictly one after another in order.,,,,,,3,"Multi-issue sessions call for extracting and persisting structured issue data into a separate context layer, so each issue's facts stay attached to that issue rather than blurring together in the narrative history. Sequencing does not stop contamination, and splitting into parallel sessions loses the shared customer context that makes a unified resolution possible.",D5 Context Management & Reliability
An upstream agent returns full page text and its complete reasoning to a downstream agent with a tight context budget. What should change?,multiple-choice,"Raise the downstream agent's budget, so it can accommodate what upstream produces.",,Have the downstream agent request only the sections it needs after seeing a table of contents.,,"Return the same content compressed, so more of it fits within the downstream budget.",,"Return structured data — key facts, citations, relevance scores — instead of verbose content.",,,,,,4,"When downstream agents have limited context budgets, upstream agents should be modified to return structured data such as key facts, citations and relevance scores rather than verbose content and reasoning chains. Compression preserves the wrong thing, raising the budget postpones the problem, and a request-response negotiation adds round trips to a one-way handoff.",D5 Context Management & Reliability
"A synthesis agent cannot tell whether a finding from a subagent is recent or a decade old, and treats all of them alike. What must subagents include?",multiple-choice,"A prose caveat where a finding may be dated, written in the subagent's own summary.",,"Only the findings from the last two years, so that stale material never reaches synthesis at all.",,"Metadata such as dates, source locations and methodological context in their structured output.",,"A recency ranking, ordering findings from newest to oldest before they are handed over.",,,,,,3,"Subagents are required to include metadata — dates, source locations, methodological context — in structured outputs to support accurate downstream synthesis. A ranking conveys order without conveying age, discarding older material destroys legitimate historical evidence, and a prose caveat is lost at the next compression step.",D5 Context Management & Reliability
"A customer is plainly frustrated about an issue the agent can resolve, and has not asked to speak to anyone. What is the correct behaviour?",multiple-choice,"Ask whether they would prefer a human, so the choice is offered explicitly before proceeding.",,"Acknowledge the frustration and offer resolution, escalating only if they then ask for a person.",,"Escalate immediately, since a frustrated customer is rather unlikely to accept an automated response.",,"Resolve the issue without acknowledging the frustration, since the outcome is what matters.",,,,,,2,"Acknowledging frustration while offering resolution is correct when the issue is within the agent's capability, escalating only if the customer reiterates a preference for a person. Escalating on sentiment alone is the unreliable proxy this domain warns against, ignoring the frustration mishandles the interaction, and volunteering a transfer invites an escalation nobody asked for.",D5 Context Management & Reliability
"A synthesis report presents every finding with equal authority, although two topic areas rest on a single unavailable source. What should the output carry?",multiple-choice,"A confidence score per finding, so a reader can weigh each claim against the others.",,A footnote listing all the sources that were unavailable at the time the report was produced.,,"Removal of the two thin areas, so the report contains only well-supported conclusions.",,Coverage annotations distinguishing well-supported findings from areas with acknowledged gaps.,,,,,,4,"Structuring synthesis output with coverage annotations indicating which findings are well supported and which topic areas have gaps due to unavailable sources is what makes the limits of the report visible where they matter. A confidence number does not say why, a footnote separates the caveat from the claim, and deleting thin areas hides that they were part of the question.",D5 Context Management & Reliability
"A customer's request concerns competitor price matching, and the written policy addresses only adjustments on the company's own site. What should the agent do?",multiple-choice,"Apply the own-site rule by analogy, since the two situations are closely comparable.",,"Escalate, since the policy is silent on the specific request that has been made.",,"Decline, since anything the policy does not explicitly permit is by default not allowed.",,"Offer a goodwill gesture instead, avoiding a policy determination altogether.",,,,,,2,"A policy exception or gap is an escalation trigger in its own right, and this is the canonical case: the policy does not address the request rather than addressing it unfavourably. Declining treats silence as prohibition, reasoning by analogy invents policy the organization has not set, and substituting a gesture makes an unauthorized commercial decision.",D5 Context Management & Reliability
"A subagent catches its own timeout and returns an empty result marked successful, so the workflow completes cleanly. What is wrong?",multiple-choice,"The failure is suppressed, so no recovery is possible and the gap ships inside the findings.",,The empty result cannot be distinguished from a partial one by the synthesis agent.,,The subagent should instead have terminated the entire workflow rather than returning.,,"The workflow completes rather more slowly, since an empty result still occupies a synthesis slot.",,,,,,1,"Silently suppressing errors by returning empty results as success prevents any recovery and risks an incomplete output presented as complete, which is a named anti-pattern. Terminating the whole workflow on a single failure is the opposite anti-pattern. The correct behaviour is structured error context so the coordinator can decide what to do.",D5 Context Management & Reliability
"One subagent in a five-agent run fails permanently, and the current implementation aborts the whole workflow. What should happen instead?",multiple-choice,Substitute the failed subagent's output with the most similar output from another agent.,,"Retry the failed subagent indefinitely, since the workflow cannot be complete without it.",,"Abort as it currently does, since a partial result is not a usable research output.",,Proceed with partial results and annotate the coverage gap the failure has created.,,,,,,4,"Terminating an entire workflow on a single failure is a named anti-pattern, as is silently suppressing the failure. The correct behaviour is to proceed with partial results while explicitly annotating what is missing, so the output is usable and its limits are visible. Substituting another agent's output fabricates coverage that does not exist.",D5 Context Management & Reliability
An extended exploration session has filled with verbose discovery output and is losing coherence. Which mechanism reduces context usage within that session?,multiple-choice,"A higher effort setting, so the remaining reasoning compensates for the lost detail.",,"Restarting the session, since a session filled with discovery cannot be recovered.",,"Compaction, which reduces context usage once discovery output has accumulated.",,"A larger context window, which accommodates the discovery output already produced.",,,,,,3,"Compaction is the documented mechanism for reducing context usage during extended exploration sessions when context fills with verbose discovery output. A larger window postpones rather than addresses the accumulation, restarting discards findings that scratchpads and summaries exist to preserve, and effort governs reasoning depth rather than context pressure.",D5 Context Management & Reliability
A multi-phase exploration is about to spawn agents for its second phase. What should happen to the first phase's findings?,multiple-choice,"Leave them in the coordinator alone, since the phase two agents investigate separate questions.",,Summarize them and inject the summary into the initial context of the next phase's agents.,,Persist them to a store the second-phase agents query whenever they need earlier context.,,"Pass the first phase's full transcript, so nothing discovered is lost in the compression.",,,,,,2,"Summarizing key findings from one exploration phase before spawning sub-agents for the next, and injecting those summaries into initial context, is what carries understanding forward without carrying the volume. A full transcript defeats the isolation delegation provides, and withholding the findings entirely means phase two rediscovers what phase one established.",D5 Context Management & Reliability
