Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A verbose tool result is appended to an agent's context unchanged on every iteration. What is the compounding cost?,multiple-choice,"It slows the response, since each iteration has more material to process than the last.",,"It reduces accuracy, since the relevant content is surrounded by material that is not.",,"It occupies space that later results need, so the context fills earlier than expected.",,"It is resent on every subsequent iteration, so one result is paid for many times.",,,,,,4,"Because the conversation is resent whole on each iteration, a large result appended at step two is paid for again at every step after it. Trimming at the point the result is returned is what stops the compounding. Context pressure, latency and dilution are all real and each of them follows from the same growth.",D1 Agentic Architecture & Orchestration
An agent loop uses a stable system prompt and tool set. What does caching the prefix change?,multiple-choice,"The tool definitions are omitted from later requests, since they are already known.",,The repeated portion is read at a discount on every iteration after the first.,,"The conversation stops growing, since the cached portion is not resent.",,"The iterations run concurrently, since the prefix no longer has to be rebuilt.",,,,,,2,An agent loop is the ideal caching profile: a long invariant prefix read many times in quick succession. The content is still sent and still occupies the window; what changes is the rate charged for the repeated portion. Nothing is omitted and nothing about the loop's sequencing changes.,D1 Agentic Architecture & Orchestration
"An agent alternates between two tools without advancing, each call undoing the effect of the last. What is the design response?",multiple-choice,"Remove one of the two tools, so the alternation cannot occur at all.",,"Raise the model tier, so the agent reasons its way out of the cycle.",,"Increase the iteration ceiling, so the agent has room to work through it.",,"Detect the cycle and terminate, reporting what it was unable to resolve.",,,,,,4,"An oscillation is a specific failure the loop should recognize rather than pay to continue: the same states recurring with no progress. Terminating with an explanation is more useful than an exhausted budget. Raising the ceiling funds the loop, and removing a tool addresses a symptom without knowing why the agent is stuck.",D1 Agentic Architecture & Orchestration
An agent's run budget is exhausted partway through its work. What should happen?,multiple-choice,"It fails, since a partial result cannot be relied on by the caller.",,"It continues, since in fact abandoning the work wastes everything spent so far.",,"It requests an extension, so the caller can decide whether to continue.",,"It returns what it has established, with what remains unfinished stated.",,,,,,4,"A budget that is not enforced is not a budget, and a run that stops should hand back its partial findings and say what is missing, which is usually far more valuable than nothing. Failing outright discards recoverable work, and continuing past the ceiling defeats the control entirely.",D1 Agentic Architecture & Orchestration
"An agent needs information only the user can supply, partway through a run. What does the design require?",multiple-choice,"A way to pause, ask, and resume with the answer in context.",,"A way to fail, so the user can restart the run with the information supplied.",,"A way to proceed on an assumption, recorded in the run's final output.",,"A way to skip the step, completing whatever else the run is able to do.",,,,,,1,"Interactive agents need a defined interruption point: state preserved, a question surfaced, and resumption with the answer incorporated. Failing and restarting discards everything done so far. Assumptions and skipping are appropriate for questions whose answer does not change what the run does.",D1 Agentic Architecture & Orchestration
Several tools are called in one turn and complete at different times. In what order must the results be returned?,multiple-choice,"In completion order, so the model sees results as they became available.",,"All of them in the next turn, each matched to the call it answers.",,"One at a time across successive turns, so each can be reasoned about.",,"In the order the calls were made, since that is the sequence the model chose.",,,,,,2,"Every call in a turn must be answered in the following turn, with each result carrying the identifier of the call it belongs to. That correspondence is what makes the pairing unambiguous, so the ordering within the turn does not carry meaning. Splitting the results across turns leaves calls unanswered.",D1 Agentic Architecture & Orchestration
A design must choose between an agent and a workflow for a task whose steps are known but whose data varies. What follows?,multiple-choice,"An agent, since in fact varying data means the handling has to adapt per input.",,"A workflow, since known steps do not require the model to choose the path.",,"A workflow with a model call at each step, deciding whether to proceed.",,"An agent, since the steps may need to be reordered for some inputs.",,,,,,2,"Varying data is not varying control flow. Where the sequence is known, encoding it in code is cheaper, reproducible and testable, with the model doing the work within each step. Reaching for an agent because the inputs differ is the most common way designs acquire unnecessary nondeterminism.",D1 Agentic Architecture & Orchestration
Two subagents must both update a shared record during a run. What does the design need?,multiple-choice,"One owner for that record, with the other routing its changes through it.",,"A merge step at the end, reconciling whatever each of them produced.",,"A lock each acquires, so the updates are applied one after the other.",,"A retry on whichever update fails, since in fact one of the two will succeed.",,,,,,1,"Assigning a single owner removes the conflict rather than managing it, which is what parallel delegation depends on. Locking serializes correctly and adds a coordination mechanism where a design change would do, and retrying or merging treats a preventable race as cleanup work.",D1 Agentic Architecture & Orchestration
A subagent is given the coordinator's system prompt verbatim. What is the problem?,multiple-choice,It describes a coordinating role the subagent is not performing.,,It makes the subagent's behaviour identical to the coordinator's.,,It may reference tools the subagent has not been given access to.,,"It is longer than the subagent's task requires, which wastes context.",,,,,,1,"A subagent needs instructions for its own job: what it is responsible for, what it must return, and what it should not attempt. Inheriting the coordinator's role description tells it to delegate work it is supposed to do. Length and tool references are secondary consequences of the same mismatch.",D1 Agentic Architecture & Orchestration
An agent reaches a case it is not confident about. What makes escalation to a person reliable?,multiple-choice,"A review of a sample of outputs, which catches the cases that were missed.",,An instruction telling the model to escalate whenever it is uncertain.,,"A confidence score the model reports, checked against a threshold.",,"A defined condition in the design, rather than the model's own judgment.",,,,,,4,"Escalation has to be triggered by something observable: the value falls outside a range, a required field is absent, a source disagreed. Self-reported uncertainty is generated text and is poorly calibrated, which makes it unsuitable as a gate. Sampling catches missed cases after the fact rather than routing them.",D1 Agentic Architecture & Orchestration
An agent operates on a snapshot taken at the start of a long run. What must the design account for?,multiple-choice,The snapshot may not include everything the run subsequently needs.,,The world may have changed by the time an action is taken on it.,,The snapshot may become inconsistent as the run modifies its own state.,,The snapshot may exceed the context available to hold it in full.,,,,,,2,"A long run acting on stale state is where an agent modifies a record someone else has already changed. Re-reading before acting, or using a conditional update that fails if the state moved, is the control. Size and coverage are properties of the snapshot rather than of the gap between reading and acting.",D1 Agentic Architecture & Orchestration
An agent's run spans several services and a failure must be traced across them. What is required?,multiple-choice,"Consistent log formats, so the records can be parsed uniformly.",,"A shared log destination, and so all the records are held in one place.",,A correlation identifier propagated through every call the run makes.,,"Synchronized clocks, so the logs from each service can be ordered.",,,,,,3,"Without a value carried through every hop, records from different services cannot be attributed to the same run, which is exactly what a distributed investigation needs. Clock alignment, a common destination and a uniform format all make the correlated records easier to work with once the correlation exists.",D1 Agentic Architecture & Orchestration
A single step of a past agent run needs to be re-executed for debugging. What must have been captured?,multiple-choice,"The configuration in force, from which the step's behaviour can be derived.",,"The final output of the run, which the step contributed to producing.",,"The duration of the step, which indicates whether it behaved unusually.",,"That step's exact inputs, including the context as it stood at the time.",,,,,,4,"Reproducing one step requires reconstructing what it saw, which is the accumulated context plus its specific input at that point. That is a deliberate thing to record. Outputs, configuration and timings describe the run around the step without allowing it to be run again in isolation.",D1 Agentic Architecture & Orchestration
